rank,country,imfGDP,gdpPerCapita,population
181,Saint Vincent and the Grenadines,864000000,7812.7119,110.589
182,Comoros,726000000,853.2283,850.886
183,Dominica,542000000,7547.9055,71.808
184,Tonga,493000000,4717.9742,104.494
185,Sao Tome and Principe,477000000,2218.0269,215.056
186,Micronesia,383000000,3365.11,113.815
187,Palau,310000000,17214.5713,18.008
188,Marshall Islands,220000000,3742.0694,58.791
189,Kiribati,187000000,1590.0549,117.606
190,Nauru,114000000,10598.7356,10.756
191,Tuvalu,49000000,4207.4532,11.646
192,Andorra,0,37053.8309,77.142
193,Anguilla,0,22699.6079,14.869
194,Bermuda,0,98028.0453,62.506
195,British Virgin Islands,0,32342.2281,30.03
196,Cayman Islands,0,59187.0516,64.948
197,Cook Islands,0,16537.1663,17.548
198,Cuba,0,7913.6043,11333.483
199,Curacao,0,19100.3155,163.424
200,North Korea,0,654.1143,25666.161
201,French Polynesia,0,19399.1634,279.287
202,Greenland,0,40283.1713,56.672
203,Liechtenstein,0,162910.0593,38.019
204,Monaco,0,165999.4066,38.964
205,Montserrat,0,12437.6378,4.989
206,New Caledonia,0,33406.5954,282.75
207,Sint Maarten,0,25291.758,42.388
208,Palestine,0,2689.4139,4981.42
209,Sudan,0,1936.0226,42813.238
210,Syria,0,1298.3538,17070.135
211,Turks and Caicos Islands,0,24025.3068,38.191
